AUFNR,WERKS,PlantName,MATNR,MaterialDesc,PSTRT,PEND,PLAN_QTY,ACTUAL_QTY,Status
AU00000029,1001,上海工厂,M002004,频率变换器 G120-22kW,2026-01-05,2026-01-09,108.0,0,REL
AU00000030,3001,北京工厂,M002001,工业电机 Y2-280M,2026-02-17,2026-02-26,134.0,124.0,CNF
AU00000031,1002,南京工厂,M001002,中压开关柜 KYN28-12,2026-02-18,2026-02-28,390.0,355.0,CNF
AU00000032,5001,沈阳工厂,M002001,工业电机 Y2-280M,2026-02-11,2026-02-24,82.0,74.0,CNF
AU00000033,4001,成都工厂,M001003,干式变压器 SCB-1000kVA,2026-02-09,2026-02-22,157.0,0,REL
AU00000034,4001,成都工厂,M002003,PLC 模块 S7-1500 CPU,2026-02-06,2026-02-15,150.0,146.0,TECO
AU00000035,1001,上海工厂,M002002,伺服驱动器 SD-7.5kW,2026-02-10,2026-02-18,210.0,191.0,CNF
AU00000036,2001,广州工厂,M001002,中压开关柜 KYN28-12,2026-02-11,2026-02-24,184.0,0,REL
AU00000037,2001,广州工厂,M002004,频率变换器 G120-22kW,2026-02-12,2026-02-21,253.0,0,REL
AU00000038,5001,沈阳工厂,M001004,油浸变压器 S11-1600kVA,2026-02-05,2026-02-10,355.0,366.0,CNF
AU00000039,3001,北京工厂,M002001,工业电机 Y2-280M,2026-02-09,2026-02-12,441.0,422.0,CNF
AU00000040,1001,上海工厂,M001004,油浸变压器 S11-1600kVA,2026-02-08,2026-02-12,114.0,110.0,CNF
AU00000041,3001,北京工厂,M002004,频率变换器 G120-22kW,2026-02-20,2026-02-28,266.0,227.0,CNF
AU00000042,5001,沈阳工厂,M002001,工业电机 Y2-280M,2026-02-08,2026-02-20,346.0,346.0,CNF
AU00000043,3001,北京工厂,M001004,油浸变压器 S11-1600kVA,2026-02-10,2026-02-14,115.0,0,REL
AU00000044,5001,沈阳工厂,M002001,工业电机 Y2-280M,2026-02-11,2026-02-21,91.0,0,REL
AU00000045,1001,上海工厂,M002003,PLC 模块 S7-1500 CPU,2026-02-17,2026-02-28,99.0,97.0,CNF
AU00000046,3001,北京工厂,M001001,高压断路器 ZN-12kV,2026-02-07,2026-02-16,345.0,309.0,TECO
AU00000047,2001,广州工厂,M001004,油浸变压器 S11-1600kVA,2026-02-08,2026-02-19,56.0,54.0,CNF
AU00000048,1002,南京工厂,M001001,高压断路器 ZN-12kV,2026-02-16,2026-02-27,174.0,176.0,CNF
AU00000049,4001,成都工厂,M001002,中压开关柜 KYN28-12,2026-02-03,2026-02-08,280.0,268.0,TECO
AU00000050,3001,北京工厂,M001002,中压开关柜 KYN28-12,2026-02-14,2026-02-19,345.0,318.0,CNF
AU00000051,1001,上海工厂,M001004,油浸变压器 S11-1600kVA,2026-02-19,2026-02-23,403.0,361.0,CNF
AU00000052,1002,南京工厂,M001001,高压断路器 ZN-12kV,2026-03-15,2026-03-27,125.0,117.0,CNF
AU00000053,1002,南京工厂,M001004,油浸变压器 S11-1600kVA,2026-03-11,2026-03-14,371.0,0,REL
AU00000054,3001,北京工厂,M001003,干式变压器 SCB-1000kVA,2026-03-06,2026-03-14,98.0,93.0,CNF
AU00000055,3001,北京工厂,M001003,干式变压器 SCB-1000kVA,2026-03-11,2026-03-16,201.0,200.0,CNF
AU00000056,5001,沈阳工厂,M002003,PLC 模块 S7-1500 CPU,2026-03-20,2026-03-28,438.0,414.0,CNF
AU00000057,3001,北京工厂,M002002,伺服驱动器 SD-7.5kW,2026-03-04,2026-03-09,248.0,252.0,CNF
AU00000058,2001,广州工厂,M001001,高压断路器 ZN-12kV,2026-03-12,2026-03-21,140.0,0,REL
AU00000059,5001,沈阳工厂,M002003,PLC 模块 S7-1500 CPU,2026-03-15,2026-03-24,488.0,480.0,CNF
AU00000060,1001,上海工厂,M001003,干式变压器 SCB-1000kVA,2026-03-13,2026-03-17,80.0,0,REL
AU00000061,1002,南京工厂,M001001,高压断路器 ZN-12kV,2026-03-18,2026-03-21,138.0,140.0,CNF
AU00000062,1001,上海工厂,M002002,伺服驱动器 SD-7.5kW,2026-03-15,2026-03-28,191.0,192.0,CNF
AU00000063,2001,广州工厂,M002003,PLC 模块 S7-1500 CPU,2026-03-05,2026-03-17,396.0,407.0,CNF
AU00000064,5001,沈阳工厂,M002001,工业电机 Y2-280M,2026-03-18,2026-03-28,211.0,0,REL
AU00000065,3001,北京工厂,M001001,高压断路器 ZN-12kV,2026-03-19,2026-03-24,83.0,76.0,CNF
AU00000066,3001,北京工厂,M001002,中压开关柜 KYN28-12,2026-03-13,2026-03-25,58.0,60.0,CNF
AU00000067,3001,北京工厂,M002004,频率变换器 G120-22kW,2026-03-19,2026-03-28,176.0,177.0,CNF
AU00000068,5001,沈阳工厂,M001003,干式变压器 SCB-1000kVA,2026-03-06,2026-03-10,53.0,53.0,TECO
AU00000069,3001,北京工厂,M002003,PLC 模块 S7-1500 CPU,2026-03-10,2026-03-24,295.0,306.0,CNF
AU00000070,4001,成都工厂,M002001,工业电机 Y2-280M,2026-04-15,2026-04-27,72.0,64.0,CNF
AU00000071,4001,成都工厂,M002004,频率变换器 G120-22kW,2026-04-06,2026-04-15,184.0,165.0,CNF
AU00000072,1002,南京工厂,M001001,高压断路器 ZN-12kV,2026-04-07,2026-04-16,486.0,475.0,CNF
AU00000073,4001,成都工厂,M001003,干式变压器 SCB-1000kVA,2026-04-11,2026-04-21,165.0,0,REL
AU00000074,5001,沈阳工厂,M002001,工业电机 Y2-280M,2026-04-15,2026-04-24,188.0,0,REL
AU00000075,1002,南京工厂,M001004,油浸变压器 S11-1600kVA,2026-04-19,2026-04-28,192.0,183.0,CNF
AU00000076,5001,沈阳工厂,M002004,频率变换器 G120-22kW,2026-04-02,2026-04-12,445.0,434.0,CNF
AU00000077,4001,成都工厂,M001003,干式变压器 SCB-1000kVA,2026-04-12,2026-04-25,156.0,145.0,TECO
AU00000078,1002,南京工厂,M001001,高压断路器 ZN-12kV,2026-04-11,2026-04-16,470.0,407.0,CNF
AU00000079,3001,北京工厂,M002001,工业电机 Y2-280M,2026-04-17,2026-04-28,404.0,380.0,CNF
AU00000080,2001,广州工厂,M002003,PLC 模块 S7-1500 CPU,2026-04-13,2026-04-22,105.0,91.0,CNF
AU00000081,2001,广州工厂,M001004,油浸变压器 S11-1600kVA,2026-04-06,2026-04-15,315.0,306.0,CNF
AU00000082,2001,广州工厂,M001003,干式变压器 SCB-1000kVA,2026-04-18,2026-04-26,131.0,122.0,CNF
AU00000083,4001,成都工厂,M001004,油浸变压器 S11-1600kVA,2026-04-03,2026-04-10,276.0,289.0,TECO
AU00000084,5001,沈阳工厂,M002003,PLC 模块 S7-1500 CPU,2026-04-04,2026-04-11,352.0,315.0,CNF
AU00000085,5001,沈阳工厂,M002003,PLC 模块 S7-1500 CPU,2026-04-05,2026-04-19,53.0,0,REL
AU00000086,1002,南京工厂,M001004,油浸变压器 S11-1600kVA,2026-04-06,2026-04-16,107.0,106.0,TECO
AU00000087,2001,广州工厂,M001002,中压开关柜 KYN28-12,2026-04-02,2026-04-08,263.0,259.0,CNF
AU00000088,1002,南京工厂,M002001,工业电机 Y2-280M,2026-04-11,2026-04-25,367.0,383.0,CNF
AU00000089,4001,成都工厂,M002003,PLC 模块 S7-1500 CPU,2026-04-01,2026-04-04,279.0,242.0,CNF
AU00000090,3001,北京工厂,M001001,高压断路器 ZN-12kV,2026-04-14,2026-04-21,266.0,255.0,TECO
AU00000091,4001,成都工厂,M002002,伺服驱动器 SD-7.5kW,2026-05-18,2026-05-21,119.0,0,REL
AU00000092,1002,南京工厂,M002004,频率变换器 G120-22kW,2026-05-03,2026-05-09,337.0,0,REL
AU00000093,1001,上海工厂,M002003,PLC 模块 S7-1500 CPU,2026-05-14,2026-05-18,98.0,0,REL
AU00000094,1001,上海工厂,M001001,高压断路器 ZN-12kV,2026-05-04,2026-05-10,209.0,0,REL
AU00000095,5001,沈阳工厂,M002004,频率变换器 G120-22kW,2026-05-17,2026-05-28,244.0,213.0,CNF
AU00000096,1002,南京工厂,M001002,中压开关柜 KYN28-12,2026-05-14,2026-05-26,497.0,468.0,CNF
AU00000097,1002,南京工厂,M001004,油浸变压器 S11-1600kVA,2026-05-20,2026-05-28,197.0,195.0,CNF
AU00000098,1001,上海工厂,M001003,干式变压器 SCB-1000kVA,2026-05-01,2026-05-05,227.0,204.0,TECO
AU00000099,1002,南京工厂,M001001,高压断路器 ZN-12kV,2026-05-16,2026-05-28,313.0,0,REL
AU00000100,2001,广州工厂,M001003,干式变压器 SCB-1000kVA,2026-05-04,2026-05-14,212.0,0,REL
AU00000101,1002,南京工厂,M001001,高压断路器 ZN-12kV,2026-05-18,2026-05-28,312.0,289.0,CNF
AU00000102,4001,成都工厂,M001001,高压断路器 ZN-12kV,2026-05-04,2026-05-13,236.0,239.0,CNF
AU00000103,4001,成都工厂,M001002,中压开关柜 KYN28-12,2026-05-13,2026-05-22,279.0,268.0,TECO
AU00000104,4001,成都工厂,M001002,中压开关柜 KYN28-12,2026-05-18,2026-05-28,267.0,0,REL
